COUNTRY_INDICATOR,NINO,NINO_SUFFIX,CHILD_BENEFIT_NUMBER,DATE_OF_BIRTH,TITLE,FORENAME,SURNAME,RES_ADDRESS_LINE_1,RES_ADDRESS_LINE_2,RES_ADDRESS_LINE_3,RES_POSTCODE,APPOINTEE_INDICATOR,APPOINTEE_NINO,APPOINTEE_NINO_SUFFIX,APPOINTEE_TITLE,APPOINTEE_FORENAME,APPOINTEE_SURNAME,COR_ADDRESS_LINE_1,COR_ADDRESS_LINE_2,COR_ADDRESS_LINE_3,COR_POSTCODE,TERMINALLY_ILL,AA_BENEFIT_TYPE,BB_BENEFIT_TYPE,CHB_BENEFIT_TYPE,DLA_BENEFIT_TYPE,ESA_BENEFIT_TYPE,IB_BENEFIT_TYPE,IS_BENEFIT_TYPE,IIDB_BENEFIT_TYPE,IDB_BENEFIT_TYPE,JSA_BENEFIT_TYPE,MA_BENEFIT_TYPE,PC_BENEFIT_TYPE,PIB_BENEFIT_TYPE,SDA_BENEFIT_TYPE,WB_BENEFIT_TYPE
GB,HK000001,A,,07May88,Ms,Linnda,Nee,18 Bristol Court,Blackpool,Lanchashire,,N,,,,,,,,,,N,,BB,,,,,,,,,,,,,
GB,HK000002,B,,03Jan86,MR,Brian,Bolt,00 rom grouse,Osbornbe Road,Tyne and Wear,NE30 3BQ,N,,,,,,,,,,N,,BB,,,,,,,,,,,,,
WA,HK000003,,,04Jan86,MR,Lily,Zeus,22 Barvik Caastle,Longbenton,Northumberland,SA34 2BQ,N,,,,,,,,,,N,,BB,,,,,,,,,,,,,
NI,HK000004,D,,05Jan86,MR,Martin,Van,11 Sandgate,Dunston,Berkshire,BT2 0BY,N,,,,,,,,,,N,,BB,,,,,,,,,,,,,
NI,HK000005,A,,06Jan86,MR,Mat,Denton,45 Fieldglass,Gatehead,Yorkshire,BT34 2BQ,N,,,,,,,,,,N,,BB,,,,,,,,,,,,,
NI,HK000006,D,,07Jan86,MRS,Lucas,Murphy,66 Brown Court,South Shields,Lanchashire,NE27 1RG,N,,,,,,,,,,N,,BB,,,ESA,,,,,,,,,,
NI,HK000007,B,,08Jan86,MR,Emyly,Chambers,87 Bamer Terrace,Tynemouth,Yorkshire,C3 3CC,N,,,,,,,,,,N,,BB,,DLA,ESA,,,,,,,,,,
NI,HK000008,D,,09Jan86,MR,Cheryl,Shah,64 Gera Terrace,Manchester,Cumbria,D4 4DD,N,,,,,,,,,,N,,BB,,,ESA,,,,,,,PC,,,
WA,HK000009,C,,10Jan86,MR,Ana,Muruk,01 Edward Street,Edinbarough,Yorkshire,A1 1AA,N,,,,,,,,,,N,,BB,,DLA,,,,,,,,,,,
GB,HK000010,A,,11Jan86,MRS,Mariyana,De,09 Downham Street,Holystone,Lanchashire,B2 2BB,N,,,,,,,,,,N,,BB,,,ESA,,,,,,,,,,
GB,HK000011,B,,12Jan86,MR,Neha,Bharathi,12 Holystone Cross,Cramlington,Tyne and Wear,C3 3CC,N,,,,,,,,,,N,,BB,,,ESA,,,,,,,,,,
GB,HK000012,D,,13Jan86,MR,Sud,Shah,14 Shiremoor Road,Monkseaton,Tyne and Wear,D4 4DD,N,,,,,,,,,,N,,BB,,,,,,,,,,PC,,,
WA,HK000013,C,,14Jan86,MS,Arav,Patil,10 Earson View,Shiremoor,Tyne and Wear,A1 1AA,N,,,,,,,,,,N,,BB,,,,,,,,,,,,,
WA,HK000014,A,,15Jan86,MRS,Mathew,Lee,54 Whitley Road,Whiltley Bay,Tyne and Wear,B2 2BB,N,,,,,,,,,,N,,BB,,,,,,,,,,,,,
GB,HK000015,B,,16Jan86,MR,Gracy,Smart,07 Killingworth Way,Northshields,Tyne and Wear,BT1 1FX,N,,,,,,,,,,N,,BB,,,,,,,,,,,,,
WA,HK000016,D,,17Jan86,MR,Amanda,Nicky,10 Shields Road,Reading,Berkshire,D4 4DD,N,,,,,,,,,,N,,,,DLA,ESA,,,IIDB,,,,,,,
NI,HK000017,C,,18Jan86,MR,George,Su,11 Benton Dene,Bristol,Berkshire,SA1 2GY,N,,,,,,,,,,N,,,,DLA,ESA,,,IIDB,,,,,,,
NI,HK000018,A,,19Jan86,MR,John,Christpopher,12 Viscount Close,Liverpool,Lanchashire,CF3 2XR,N,,,,,,,,,,N,,,,DLA,ESA,,,IIDB,,,,,,,
WA,HK000019,B,,20Jan86,MR,David,Miller,02 Reading Road,Blackpool,Lanchashire,FY6 4GY,N,,,,,,,,,,N,,,,DLA,ESA,,,IIDB,,,,,,,
WA,HK000020,D,,21Jan86,MRS,Ema,Armstrong,03 High Street,Dundee,Lanchashire,FY1 2GY,N,,,,,,,,,,N,,,,DLA,ESA,,,,,,,,,,
GB,HK000021,C,,22Jan86,MR,Anusha,Shetty,03 London Road,Birmingham,Lanchashire,WE3 1GY,N,,,,,,,,,,N,,,,DLA,ESA,,,IIDB,,,,,,,
NI,HK000022,A,,23Jan86,MR,Elezebeth,Vergese,08 Edinbarough Road,Glasgow,Cumbria,FY4 1GY,N,,,,,,,,,,N,,,,DLA,ESA,,,,,,,,,,
NI,HK000023,B,,24Jan86,MR,Chris,Kent,10 Chillingham Road,Chillingham Road,Tyne and Wear,NE27 0HF,N,,,,,,,,,,N,,,,DLA,ESA,,,,,,,,,,
NI,HK000024,D,,25Jan86,MR,Stepy,Graph,99 Regent Center,Regent Center,Tyne and Wear,NE30 0BX,N,,,,,,,,,,N,,,,DLA,ESA,,,,,,,,,,
WA,HK000025,C,,26Jan86,MRS,Andy,Brown,1 Coppice Place,Palmerville,Tyne and Wear,NE30 2BX,N,,,,,,,,,,N,,,,DLA,ESA,,,,,,,,,,
